#t lex rand randsort randsortdesc randw randwnoh 
9607 703887400.983 677895507.052 716275037.867 642184503.979 691664338.979 703923086.454
9608 703925272.841 677929219.586 716312780.166 642217461.581 691698487.893 703962210.709
9609 703963144.7 677962932.12 716350522.465 642250419.182 691732636.807 704001334.964
9610 704001016.558 677996644.654 716388264.764 642283376.783 691766785.72 704040459.218
9611 704038888.417 678030357.188 716426007.062 642316334.385 691800934.634 704079583.473
9612 704076760.275 678064069.722 716463749.361 642349291.986 691835083.548 704118707.728
9613 704114632.134 678097782.257 716501491.66 642382249.587 691869232.462 704157831.982
9614 704152503.992 678131494.791 716539233.959 642415207.189 691903381.376 704196956.237
9615 704190375.851 678165207.325 716576976.257 642448164.79 691937530.29 704236080.492
9616 704228247.709 678198919.859 716614718.556 642481122.391 691971679.204 704275204.746
9617 704266119.568 678232632.393 716652460.855 642514079.993 692005828.117 704314329.001
9618 704303991.426 678266344.927 716690203.154 642547037.594 692039977.031 704353453.255
9619 704341863.285 678300057.461 716727945.452 642579995.195 692074125.945 704392577.51
9620 704379735.143 678333769.996 716765687.751 642612952.797 692108274.859 704431701.765
9621 704417607.002 678367482.53 716803430.05 642645910.398 692142423.773 704470826.019
9622 704455478.86 678401195.064 716841172.349 642678867.999 692176572.687 704509950.274
9623 704493350.719 678434907.598 716878914.647 642711825.601 692210721.6 704549074.529
9624 704531222.577 678468620.132 716916656.946 642744783.202 692244870.514 704588198.783
9625 704569094.436 678502332.666 716954399.245 642777740.804 692279019.428 704627323.038
9626 704606966.294 678536045.201 716992141.544 642810698.405 692313168.342 704666447.293
9627 704644838.153 678569757.735 717029883.842 642843656.006 692347317.256 704705571.547
9628 704682710.011 678603470.269 717067626.141 642876613.608 692381466.17 704744695.802
9629 704720581.87 678637182.803 717105368.44 642909571.209 692415615.084 704783820.056
9630 704758453.728 678670895.337 717143110.739 642942528.81 692449763.997 704822944.311
9631 704796325.587 678704607.871 717180853.037 642975486.412 692483912.911 704862068.566
9632 704834197.445 678738320.405 717218595.336 643008444.013 692518061.825 704901192.82
9633 704872069.304 678772032.94 717256337.635 643041401.614 692552210.739 704940317.075
9634 704909941.162 678805745.474 717294079.934 643074359.216 692586359.653 704979441.33
9635 704947813.021 678839458.008 717331822.232 643107316.817 692620508.567 705018565.584
9636 704985684.879 678873170.542 717369564.531 643140274.418 692654657.48 705057689.839
9637 705023556.738 678906883.076 717407306.83 643173232.02 692688806.394 705096814.094
9638 705061428.596 678940595.61 717445049.129 643206189.621 692722955.308 705135938.348
9639 705099300.455 678974308.145 717482791.427 643239147.222 692757104.222 705175062.603
9640 705137172.313 679008020.679 717520533.726 643272104.824 692791253.136 705214186.857
9641 705175044.172 679041733.213 717558276.025 643305062.425 692825402.05 705253311.112
9642 705212916.03 679075445.747 717596018.324 643338020.027 692859550.964 705292435.367
9643 705250787.889 679109158.281 717633760.622 643370977.628 692893699.877 705331559.621
9644 705288659.747 679142870.815 717671502.921 643403935.229 692927848.791 705370683.876
9645 705326531.606 679176583.349 717709245.22 643436892.831 692961997.705 705409808.131
9646 705364403.464 679210295.884 717746987.519 643469850.432 692996146.619 705448932.385
9647 705402275.323 679244008.418 717784729.817 643502808.033 693030295.533 705488056.64
9648 705440147.181 679277720.952 717822472.116 643535765.635 693064444.447 705527180.895
9649 705478019.039 679311433.486 717860214.415 643568723.236 693098593.36 705566305.149
9650 705515890.898 679345146.02 717897956.714 643601680.837 693132742.274 705605429.404
9651 705553762.756 679378858.554 717935699.012 643634638.439 693166891.188 705644553.658
9652 705591634.615 679412571.089 717973441.311 643667596.04 693201040.102 705683677.913
9653 705629506.473 679446283.623 718011183.61 643700553.641 693235189.016 705722802.168
9654 705667378.332 679479996.157 718048925.909 643733511.243 693269337.93 705761926.422
9655 705705250.19 679513708.691 718086668.207 643766468.844 693303486.843 705801050.677
9656 705743122.049 679547421.225 718124410.506 643799426.446 693337635.757 705840174.932
9657 705780993.907 679581133.759 718162152.805 643832384.047 693371784.671 705879299.186
9658 705818865.766 679614846.293 718199895.104 643865341.648 693405933.585 705918423.441
9659 705856737.624 679648558.828 718237637.402 643898299.25 693440082.499 705957547.696
9660 705894609.483 679682271.362 718275379.701 643931256.851 693474231.413 705996671.95
9661 705932481.341 679715983.896 718313122.0 643964214.452 693508380.327 706035796.205
9662 705970353.2 679749696.43 718350864.299 643997172.054 693542529.24 706074920.459
9663 706008225.058 679783408.964 718388606.597 644030129.655 693576678.154 706114044.714
9664 706046096.917 679817121.498 718426348.896 644063087.256 693610827.068 706153168.969
9665 706083968.775 679850834.033 718464091.195 644096044.858 693644975.982 706192293.223
9666 706121840.634 679884546.567 718501833.494 644129002.459 693679124.896 706231417.478
9667 706159712.492 679918259.101 718539575.792 644161960.06 693713273.81 706270541.733
9668 706197584.351 679951971.635 718577318.091 644194917.662 693747422.723 706309665.987
9669 706235456.209 679985684.169 718615060.39 644227875.263 693781571.637 706348790.242
9670 706273328.068 680019396.703 718652802.689 644260832.864 693815720.551 706387914.497
9671 706311199.926 680053109.238 718690544.987 644293790.466 693849869.465 706427038.751
9672 706349071.785 680086821.772 718728287.286 644326748.067 693884018.379 706466163.006
9673 706386943.643 680120534.306 718766029.585 644359705.669 693918167.293 706505287.26
9674 706424815.502 680154246.84 718803771.884 644392663.27 693952316.207 706544411.515
9675 706462687.36 680187959.374 718841514.182 644425620.871 693986465.12 706583535.77
9676 706500559.219 680221671.908 718879256.481 644458578.473 694020614.034 706622660.024
9677 706538431.077 680255384.442 718916998.78 644491536.074 694054762.948 706661784.279
9678 706576302.936 680289096.977 718954741.079 644524493.675 694088911.862 706700908.534
9679 706614174.794 680322809.511 718992483.377 644557451.277 694123060.776 706740032.788
9680 706652046.653 680356522.045 719030225.676 644590408.878 694157209.69 706779157.043
9681 706689918.511 680390234.579 719067967.975 644623366.479 694191358.603 706818281.298
9682 706727790.37 680423947.113 719105710.274 644656324.081 694225507.517 706857405.552
9683 706765662.228 680457659.647 719143452.572 644689281.682 694259656.431 706896529.807
9684 706803534.087 680491372.182 719181194.871 644722239.283 694293805.345 706935654.061
9685 706841405.945 680525084.716 719218937.17 644755196.885 694327954.259 706974778.316
9686 706879277.804 680558797.25 719256679.469 644788154.486 694362103.173 707013902.571
9687 706917149.662 680592509.784 719294421.767 644821112.087 694396252.087 707053026.825
9688 706955021.521 680626222.318 719332164.066 644854069.689 694430401.0 707092151.08
9689 706992893.379 680659934.852 719369906.365 644887027.29 694464549.914 707131275.335
9690 707030765.238 680693647.386 719407648.664 644919984.892 694498698.828 707170399.589
9691 707068637.096 680727359.921 719445390.962 644952942.493 694532847.742 707209523.844
9692 707106508.955 680761072.455 719483133.261 644985900.094 694566996.656 707248648.099
9693 707144380.813 680794784.989 719520875.56 645018857.696 694601145.57 707287772.353
9694 707182252.671 680828497.523 719558617.859 645051815.297 694635294.483 707326896.608
9695 707220124.53 680862210.057 719596360.157 645084772.898 694669443.397 707366020.862
9696 707257996.388 680895922.591 719634102.456 645117730.5 694703592.311 707405145.117
9697 707295868.247 680929635.126 719671844.755 645150688.101 694737741.225 707444269.372
9698 707333740.105 680963347.66 719709587.054 645183645.702 694771890.139 707483393.626
9699 707371611.964 680997060.194 719747329.352 645216603.304 694806039.053 707522517.881
9700 707409483.822 681030772.728 719785071.651 645249560.905 694840187.966 707561642.136
9701 707447355.681 681064485.262 719822813.95 645282518.506 694874336.88 707600766.39
9702 707485227.539 681098197.796 719860556.249 645315476.108 694908485.794 707639890.645
9703 707523099.398 681131910.33 719898298.547 645348433.709 694942634.708 707679014.9
9704 707560971.256 681165622.865 719936040.846 645381391.31 694976783.622 707718139.154
9705 707598843.115 681199335.399 719973783.145 645414348.912 695010932.536 707757263.409
9706 707636714.973 681233047.933 720011525.444 645447306.513 695045081.45 707796387.663
9707 707674586.832 681266760.467 720049267.742 645480264.115 695079230.363 707835511.918
9708 707712458.69 681300473.001 720087010.041 645513221.716 695113379.277 707874636.173
9709 707750330.549 681334185.535 720124752.34 645546179.317 695147528.191 707913760.427
9710 707788202.407 681367898.07 720162494.639 645579136.919 695181677.105 707952884.682
9711 707826074.266 681401610.604 720200236.937 645612094.52 695215826.019 707992008.937
9712 707863946.124 681435323.138 720237979.236 645645052.121 695249974.933 708031133.191
9713 707901817.983 681469035.672 720275721.535 645678009.723 695284123.846 708070257.446
9714 707939689.841 681502748.206 720313463.834 645710967.324 695318272.76 708109381.701
9715 707977561.7 681536460.74 720351206.132 645743924.925 695352421.674 708148505.955
9716 708015433.558 681570173.274 720388948.431 645776882.527 695386570.588 708187630.21
9717 708053305.417 681603885.809 720426690.73 645809840.128 695420719.502 708226754.464
9718 708091177.275 681637598.343 720464433.029 645842797.729 695454868.416 708265878.719
9719 708129049.134 681671310.877 720502175.327 645875755.331 695489017.33 708305002.974
9720 708166920.992 681705023.411 720539917.626 645908712.932 695523166.243 708344127.228
9721 708204792.851 681738735.945 720577659.925 645941670.533 695557315.157 708383251.483
9722 708242664.709 681772448.479 720615402.224 645974628.135 695591464.071 708422375.738
9723 708280536.568 681806161.014 720653144.522 646007585.736 695625612.985 708461499.992
9724 708318408.426 681839873.548 720690886.821 646040543.338 695659761.899 708500624.247
9725 708356280.285 681873586.082 720728629.12 646073500.939 695693910.813 708539748.502
9726 708394152.143 681907298.616 720766371.419 646106458.54 695728059.726 708578872.756
9727 708432024.002 681941011.15 720804113.717 646139416.142 695762208.64 708617997.011
9728 708469895.86 681974723.684 720841856.016 646172373.743 695796357.554 708657121.265
9729 708507767.719 682008436.218 720879598.315 646205331.344 695830506.468 708696245.52
9730 708545639.577 682042148.753 720917340.614 646238288.946 695864655.382 708735369.775
9731 708583511.436 682075861.287 720955082.912 646271246.547 695898804.296 708774494.029
9732 708621383.294 682109573.821 720992825.211 646304204.148 695932953.21 708813618.284
9733 708659255.153 682143286.355 721030567.51 646337161.75 695967102.123 708852742.539
9734 708697127.011 682176998.889 721068309.809 646370119.351 696001251.037 708891866.793
9735 708734998.87 682210711.423 721106052.107 646403076.952 696035399.951 708930991.048
9736 708772870.728 682244423.958 721143794.406 646436034.554 696069548.865 708970115.303
9737 708810742.586 682278136.492 721181536.705 646468992.155 696103697.779 709009239.557
9738 708848614.445 682311849.026 721219279.004 646501949.756 696137846.693 709048363.812
9739 708886486.303 682345561.56 721257021.302 646534907.358 696171995.606 709087488.066
9740 708924358.162 682379274.094 721294763.601 646567864.959 696206144.52 709126612.321
9741 708962230.02 682412986.628 721332505.9 646600822.561 696240293.434 709165736.576
9742 709000101.879 682446699.162 721370248.199 646633780.162 696274442.348 709204860.83
9743 709037973.737 682480411.697 721407990.497 646666737.763 696308591.262 709243985.085
9744 709075845.596 682514124.231 721445732.796 646699695.365 696342740.176 709283109.34
9745 709113717.454 682547836.765 721483475.095 646732652.966 696376889.089 709322233.594
9746 709151589.313 682581549.299 721521217.394 646765610.567 696411038.003 709361357.849
9747 709189461.171 682615261.833 721558959.692 646798568.169 696445186.917 709400482.104
9748 709227333.03 682648974.367 721596701.991 646831525.77 696479335.831 709439606.358
9749 709265204.888 682682686.902 721634444.29 646864483.371 696513484.745 709478730.613
9750 709303076.747 682716399.436 721672186.589 646897440.973 696547633.659 709517854.867
9751 709340948.605 682750111.97 721709928.887 646930398.574 696581782.573 709556979.122
9752 709378820.464 682783824.504 721747671.186 646963356.175 696615931.486 709596103.377
9753 709416692.322 682817537.038 721785413.485 646996313.777 696650080.4 709635227.631
9754 709454564.181 682851249.572 721823155.784 647029271.378 696684229.314 709674351.886
9755 709492436.039 682884962.106 721860898.082 647062228.979 696718378.228 709713476.141
9756 709530307.898 682918674.641 721898640.381 647095186.581 696752527.142 709752600.395
9757 709568179.756 682952387.175 721936382.68 647128144.182 696786676.056 709791724.65
9758 709606051.615 682986099.709 721974124.979 647161101.784 696820824.969 709830848.905
9759 709643923.473 683019812.243 722011867.277 647194059.385 696854973.883 709869973.159
9760 709681795.332 683053524.777 722049609.576 647227016.986 696889122.797 709909097.414
9761 709719667.19 683087237.311 722087351.875 647259974.588 696923271.711 709948221.668
9762 709757539.049 683120949.846 722125094.174 647292932.189 696957420.625 709987345.923
9763 709795410.907 683154662.38 722162836.472 647325889.79 696991569.539 710026470.178
9764 709833282.766 683188374.914 722200578.771 647358847.392 697025718.453 710065594.432
9765 709871154.624 683222087.448 722238321.07 647391804.993 697059867.366 710104718.687
9766 709909026.483 683255799.982 722276063.369 647424762.594 697094016.28 710143842.942
9767 709946898.341 683289512.516 722313805.667 647457720.196 697128165.194 710182967.196
9768 709984770.2 683323225.05 722351547.966 647490677.797 697162314.108 710222091.451
9769 710022642.058 683356937.585 722389290.265 647523635.398 697196463.022 710261215.706
9770 710060513.917 683390650.119 722427032.564 647556593.0 697230611.936 710300339.96
9771 710098385.775 683424362.653 722464774.862 647589550.601 697264760.849 710339464.215
9772 710136257.634 683458075.187 722502517.161 647622508.202 697298909.763 710378588.469
9773 710174129.492 683491787.721 722540259.46 647655465.804 697333058.677 710417712.724
9774 710212001.351 683525500.255 722578001.759 647688423.405 697367207.591 710456836.979
9775 710249873.209 683559212.79 722615744.057 647721381.007 697401356.505 710495961.233
9776 710287745.068 683592925.324 722653486.356 647754338.608 697435505.419 710535085.488
9777 710325616.926 683626637.858 722691228.655 647787296.209 697469654.333 710574209.743
9778 710363488.785 683660350.392 722728970.954 647820253.811 697503803.246 710613333.997
9779 710401360.643 683694062.926 722766713.252 647853211.412 697537952.16 710652458.252
9780 710439232.502 683727775.46 722804455.551 647886169.013 697572101.074 710691582.507
9781 710477104.36 683761487.994 722842197.85 647919126.615 697606249.988 710730706.761
9782 710514976.218 683795200.529 722879940.149 647952084.216 697640398.902 710769831.016
9783 710552848.077 683828913.063 722917682.447 647985041.817 697674547.816 710808955.27
9784 710590719.935 683862625.597 722955424.746 648017999.419 697708696.729 710848079.525
9785 710628591.794 683896338.131 722993167.045 648050957.02 697742845.643 710887203.78
9786 710666463.652 683930050.665 723030909.344 648083914.621 697776994.557 710926328.034
9787 710704335.511 683963763.199 723068651.642 648116872.223 697811143.471 710965452.289
9788 710742207.369 683997475.734 723106393.941 648149829.824 697845292.385 711004576.544
9789 710780079.228 684031188.268 723144136.24 648182787.425 697879441.299 711043700.798
9790 710817951.086 684064900.802 723181878.539 648215745.027 697913590.212 711082825.053
9791 710855822.945 684098613.336 723219620.837 648248702.628 697947739.126 711121949.308
9792 710893694.803 684132325.87 723257363.136 648281660.23 697981888.04 711161073.562
9793 710931566.662 684166038.404 723295105.435 648314617.831 698016036.954 711200197.817
9794 710969438.52 684199750.938 723332847.734 648347575.432 698050185.868 711239322.071
9795 711007310.379 684233463.473 723370590.032 648380533.034 698084334.782 711278446.326
9796 711045182.237 684267176.007 723408332.331 648413490.635 698118483.696 711317570.581
9797 711083054.096 684300888.541 723446074.63 648446448.236 698152632.609 711356694.835
9798 711120925.954 684334601.075 723483816.929 648479405.838 698186781.523 711395819.09
9799 711158797.813 684368313.609 723521559.227 648512363.439 698220930.437 711434943.345
9800 711196669.671 684402026.143 723559301.526 648545321.04 698255079.351 711474067.599
9801 711234541.53 684435738.678 723597043.825 648578278.642 698289228.265 711513191.854
9802 711272413.388 684469451.212 723634786.124 648611236.243 698323377.179 711552316.109
9803 711310285.247 684503163.746 723672528.422 648644193.844 698357526.092 711591440.363
9804 711348157.105 684536876.28 723710270.721 648677151.446 698391675.006 711630564.618
9805 711386028.964 684570588.814 723748013.02 648710109.047 698425823.92 711669688.872
9806 711423900.822 684604301.348 723785755.319 648743066.648 698459972.834 711708813.127
9807 711461772.681 684638013.882 723823497.617 648776024.25 698494121.748 711747937.382
9808 711499644.539 684671726.417 723861239.916 648808981.851 698528270.662 711787061.636
9809 711537516.398 684705438.951 723898982.215 648841939.453 698562419.576 711826185.891
9810 711575388.256 684739151.485 723936724.514 648874897.054 698596568.489 711865310.146
9811 711613260.115 684772864.019 723974466.812 648907854.655 698630717.403 711904434.4
9812 711651131.973 684806576.553 724012209.111 648940812.257 698664866.317 711943558.655
9813 711689003.832 684840289.087 724049951.41 648973769.858 698699015.231 711982682.91
9814 711726875.69 684874001.622 724087693.709 649006727.459 698733164.145 712021807.164
9815 711764747.549 684907714.156 724125436.007 649039685.061 698767313.059 712060931.419
9816 711802619.407 684941426.69 724163178.306 649072642.662 698801461.972 712100055.673
9817 711840491.266 684975139.224 724200920.605 649105600.263 698835610.886 712139179.928
9818 711878363.124 685008851.758 724238662.904 649138557.865 698869759.8 712178304.183
9819 711916234.983 685042564.292 724276405.202 649171515.466 698903908.714 712217428.437
9820 711954106.841 685076276.826 724314147.501 649204473.067 698938057.628 712256552.692
9821 711991978.7 685109989.361 724351889.8 649237430.669 698972206.542 712295676.947
9822 712029850.558 685143701.895 724389632.099 649270388.27 699006355.456 712334801.201
9823 712067722.417 685177414.429 724427374.397 649303345.872 699040504.369 712373925.456
9824 712105594.275 685211126.963 724465116.696 649336303.473 699074653.283 712413049.711
9825 712143466.133 685244839.497 724502858.995 649369261.074 699108802.197 712452173.965
9826 712181337.992 685278552.031 724540601.294 649402218.676 699142951.111 712491298.22
9827 712219209.85 685312264.566 724578343.592 649435176.277 699177100.025 712530422.474
9828 712257081.709 685345977.1 724616085.891 649468133.878 699211248.939 712569546.729
9829 712294953.567 685379689.634 724653828.19 649501091.48 699245397.852 712608670.984
9830 712332825.426 685413402.168 724691570.489 649534049.081 699279546.766 712647795.238
9831 712370697.284 685447114.702 724729312.787 649567006.682 699313695.68 712686919.493
9832 712408569.143 685480827.236 724767055.086 649599964.284 699347844.594 712726043.748
9833 712446441.001 685514539.77 724804797.385 649632921.885 699381993.508 712765168.002
9834 712484312.86 685548252.305 724842539.684 649665879.486 699416142.422 712804292.257
9835 712522184.718 685581964.839 724880281.982 649698837.088 699450291.335 712843416.512
9836 712560056.577 685615677.373 724918024.281 649731794.689 699484440.249 712882540.766
9837 712597928.435 685649389.907 724955766.58 649764752.29 699518589.163 712921665.021
