#t lex rand randsort randsortdesc randw randwnoh 
31998 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1913341799.34
31999 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1913386350.02
32000 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1913430900.7
32001 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1913475451.37
32002 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1913520002.05
32003 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1913564552.73
32004 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1913609103.41
32005 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1913653654.09
32006 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1913698204.76
32007 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1913742755.44
32008 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1913787306.12
32009 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1913831856.8
32010 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1913876407.48
32011 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1913920958.15
32012 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1913965508.83
32013 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1914010059.51
32014 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1914054610.19
32015 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1914099160.87
32016 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1914143711.54
32017 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1914188262.22
32018 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1914232812.9
32019 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1914277363.58
32020 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1914321914.26
32021 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1914366464.93
32022 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1914411015.61
32023 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1914455566.29
32024 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1914500116.97
32025 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1914544667.65
32026 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1914589218.32
32027 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1914633769.0
32028 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1914678319.68
32029 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1914722870.36
32030 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1914767421.04
32031 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1914811971.71
32032 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1914856522.39
32033 2971446699.8 637785724.2 2819646381.74 3011288761.36 1899970178.26 1914901073.07
