Instance,MD5,Sparrow+CP3,CCAnr,Doug Hains,MIPSat,BalancedZ,SparrowToRiss (not competing),dk-SAT11,march_br,gluebit_clasp,clasp_vflip,GlucoRed,Solver43a,Solver43b,forl,strangenight,relback (not competing),gluH,ZENN,MIPSat (not competing),MIPSat (not competing),SAT4J,CSHCcombCS,gNovelty+GCa,gNovelty+GCwa,Riss3g (not competing),satUZK,gluH_simp,BreakIDGlucose,ShatterGlucose,Lingeling,Lingeling,sattime2013,minipure,glucose,glueminisat,Riss3g (not competing),sattimeRelbackSeq (not competing),sattimeClasp,sattimeRelbackShr (not competing),RSeq (not competing)
jkkk-random-132906006148277-10-10-34-SUM-sat.cnf,782f3891485966689564ee754120a27f,5000.0,5000.0,5000.0,4727.88,5000.0,1092.76,5000.0,5000.0,1667.74,1492.0,1210.15,189.684,1326.59,2270.5,365.904,603.242,163.984,1276.14,2484.93,1887.77,430.619,5000.0,5000.0,5000.0,285.202,273.654,716.913,618.027,637.41,242.152,1234.62,5000.0,2167.67,869.023,531.772,411.939,3111.17,2540.68,4330.81,4647.49
jkkk-random-132906006493326-10-10-35-SUM-sat.cnf,a9e39c393cfbc48ff317efbbfbf763ae,5000.0,5000.0,899.818,5000.0,5000.0,1798.16,5000.0,5000.0,937.869,422.28,2213.89,360.9,66.2349,981.132,5000.0,1718.03,5000.0,357.008,1880.26,1053.68,5000.0,5000.0,5000.0,5000.0,240.299,16.7605,1528.16,1363.73,1396.07,715.015,1101.02,5000.0,5000.0,159.33,1055.26,553.866,4209.92,3125.28,5000.0,5000.0
jkkk-random-132906006427000-10-10-36-SUM-sat.cnf,2b9e1748ef3f3ad7a31bfcf442f68d76,5000.0,5000.0,827.563,5000.0,5000.0,738.053,5000.0,5000.0,3275.38,546.753,44.0943,160.566,43.5234,2482.71,504.67,1686.51,268.878,50.3283,1538.28,1027.14,2640.36,544.773,5000.0,5000.0,247.914,1569.12,3500.33,960.965,979.739,63.7253,1352.45,5000.0,200.531,150.307,1417.33,749.367,4198.65,2571.88,2982.49,3923.47
jkkk-random-132906006427000-10-10-35-OR-sat.cnf,6599556ac0b726108c5abbbe3709b7ca,5000.0,5000.0,3009.66,5000.0,5000.0,1183.34,5000.0,5000.0,3214.26,4780.84,2983.33,1320.36,1040.29,5000.0,504.157,228.827,3446.55,1185.48,3144.41,1631.72,1016.13,607.442,5000.0,5000.0,5000.0,5000.0,1241.35,236.344,236.138,1532.04,609.192,5000.0,1857.28,25.1532,327.47,3514.93,2729.65,5000.0,4897.81,5000.0
rbsat-v945c61409g5.cnf,f2bed43e44a00be22e2fb04813e8bc66,4.14637,30.8423,123.351,6.51101,18.1472,22.4276,748.013,2395.96,233.028,20.6919,5000.0,60.5528,60.2678,3044.6,628.531,667.901,977.718,989.699,9.58854,9.55555,3755.54,302.319,77.6762,56.8694,2155.71,1270.43,2401.86,1284.45,1269.36,2396.61,2039.9,1.9817,1432.53,579.138,807.228,657.257,2.84457,2.81657,8.84865,2.82457
rbsat-v760c43649g6.cnf,6cb945243724c14ac387103e1ab6cde5,17.4353,45.5081,640.165,14.0349,66.3169,5.67114,2444.97,357.203,99.9188,10.4004,3346.86,1396.9,1384.83,616.498,249.01,203.557,1686.48,868.546,38.3142,38.0962,347.476,235.774,35.9585,199.801,890.776,414.884,998.235,16.8154,16.7654,5000.0,2494.18,1.2818,1424.97,596.854,327.998,37.9502,1.00285,1.00685,14.6988,1.00585
rbsat-v760c43649g3.cnf,c696ddfb3a317249636b51c1ee6994c7,1.3108,19.516,268.609,5.45217,24.8012,4.6183,1051.45,213.233,115.341,0.729888,242.671,61.6886,828.847,217.031,495.355,32.669,388.903,217.414,13.5569,13.5809,1967.87,91.839,43.4764,3.77143,181.867,231.102,85.0261,55.3726,55.0226,83.9112,744.621,1.39179,651.812,30.6643,129.455,10.3574,4.33534,4.36333,0.569913,4.36234
LABS_n044_goal003.cnf,b0c923e5b818f3812e70e4ff067ca427,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,2906.08,5000.0,5000.0,4061.63,5000.0,5000.0,5000.0,4183.86,5000.0,2806.26,5000.0,2959.07,5000.0,5000.0,5000.0,5000.0,3552.02,5000.0,5000.0,4317.63,5000.0,5000.0,5000.0,5000.0,3646.8,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4095.0
sgp_6-6-10.sat05-2670.reshuffled-07.cnf,080b0eee741469a320509f7827afc538,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,35.9035,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
mod2c-rand3bip-sat-240-3.shuffled-as.sat05-2520.cnf,dfc7796289f8cacbd4db5eb947a1ba09,5000.0,5000.0,1073.95,5000.0,5000.0,474.042,5000.0,5000.0,4044.45,4575.49,5000.0,5000.0,5000.0,5000.0,1176.66,5000.0,1177.94,4576.53,2308.97,4078.86,5000.0,2642.07,5000.0,5000.0,1694.33,2758.85,1733.18,5000.0,310.656,5000.0,867.635,5000.0,1019.1,505.39,5000.0,2015.0,5000.0,5000.0,1327.44,5000.0
mod2c-rand3bip-sat-250-3.shuffled-as.sat05-2535.cnf,22bc1843113c53c5f8a8f8cec42dcbe5,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3454.52,3901.73,5000.0,5000.0,5000.0,5000.0,810.773,5000.0,650.598,792.556,5000.0,3541.74,4862.74,4612.71,5000.0,5000.0,4508.29,2357.12,5000.0,5000.0,3098.15,5000.0,2052.72,5000.0,4712.49,2565.92,286.372,5000.0,5000.0,5000.0,5000.0,5000.0
LABS_n060_goal005.cnf,1fea569c5594061a7c4e06a893c5ec0d,5000.0,5000.0,636.789,5000.0,5000.0,3012.67,5000.0,5000.0,542.462,677.738,1686.25,5000.0,158.481,514.625,5000.0,1273.76,522.129,5000.0,1420.23,2938.56,301.87,1948.31,5000.0,5000.0,5000.0,1382.33,1635.31,753.995,4508.04,173.213,3093.01,5000.0,5000.0,368.659,3924.11,1019.49,3846.68,4205.69,4626.59,2649.78
toughsat_factoring_426s.cnf,a985abf689bf63bb9b3a327d335ab7e3,5000.0,5000.0,176.34,5000.0,5000.0,976.184,5000.0,1886.17,374.43,863.665,595.442,7.04193,1052.75,1686.57,402.27,280.672,269.248,509.518,2420.1,1377.28,1850.98,466.857,5000.0,5000.0,736.899,662.292,131.736,985.382,1005.69,23.3984,120.661,5000.0,292.196,240.322,1728.44,550.764,2779.58,3319.69,2948.94,2566.48
toughsat_factoring_958s.cnf,94165ea1dd4efa91efa16f14470dd878,5000.0,5000.0,478.463,5000.0,5000.0,577.664,5000.0,481.347,296.425,387.856,460.895,226.471,408.394,108.947,48.0237,633.446,1024.3,912.396,1178.21,1362.34,675.153,561.898,5000.0,5000.0,737.183,1253.4,192.517,156.554,156.344,46.8649,211.092,5000.0,84.6131,384.712,242.075,1108.51,3145.9,2865.85,2349.67,2747.35
toughsat_factoring_428s.cnf,713d583846c63b962ad768279ec4a87f,5000.0,5000.0,142.471,5000.0,5000.0,289.436,566.527,192.604,46.349,201.33,205.176,148.716,191.912,158.897,79.3609,262.262,138.11,209.589,1376.33,1004.99,88.6645,417.4,5000.0,5000.0,13.7189,81.1007,676.203,67.9687,68.1176,188.14,85.0921,5000.0,65.829,26.442,0.802877,25.7981,2761.04,2687.49,428.328,3000.65
