Instance,MD5,SparrowToRiss,dk-SAT11,march_br,gluebit_clasp,clasp_vflip,GlucoRed,Solver43a,Solver43b,forl,strangenight,relback,gluH,ZENN,MIPSat,MIPSat,SAT4J,CSHCcombCS,gNovelty+GCa,gNovelty+GCwa,Riss3g (disqualified),satUZK,gluH_simp,BreakIDGlucose,ShatterGlucose,Lingeling,Lingeling,sattime2013,minipure,glucose,glueminisat,Riss3g,sattimeRelbackSeq,sattimeClasp,sattimeRelbackShr,RSeq (not competing)
p160_1.cnf,3074daeacdc3c4104adcdcb47eab62d5,129.324,5000.0,5000.0,5000.0,147.221,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,320.12,201.793,203.082,5000.0,254.931,64.4192,146.385,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,21.3967,5000.0,5000.0,5000.0,5000.0,217.815,218.075,47.9417,217.872
crafted_n11_d6_c4_num14.cnf,dc54441599690f3fb1a851485ad9193c,5000.0,38.3632,5000.0,5000.0,5000.0,2174.81,5000.0,5000.0,4713.37,4923.3,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3514.22,5000.0,5000.0,5000.0,5000.0,4140.15,5000.0,5000.0,5000.0,5000.0,5000.0
LABS_n071_goal001.cnf,902b5df560d586a575885006f932ea56,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4456.24,5000.0,4101.57,4457.73,4476.38,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4058.94,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4180.55,5000.0,4222.88,4538.14,5000.0,5000.0,5000.0,5000.0
VanDerWaerden_pd_2-3-26_633.cnf,32f70ec6b236a9024ba8835118cefd63,234.493,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,1634.49,247.082,51.8441,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
LABS_n045_goal003.cnf,1a81944b7a4e79f78e65994dc074c7f5,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,1836.3,5000.0,5000.0,4249.22,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,739.206,5000.0,5000.0,5000.0,5000.0,5000.0
VanDerWaerden_pd_2-3-20_388.cnf,cb0aa312f3d05bcbb0f392381f8de3fa,4.14637,201.909,16.3085,120.391,3.2745,1387.02,171.178,171.025,930.739,1891.32,235.118,229.998,290.88,16.8914,16.7734,318.484,208.494,3.06053,1.39079,48.2167,53.9958,236.951,202.511,202.541,28.1517,281.432,13.7089,62.9054,197.513,250.439,8.97563,18.9941,18.9791,73.4328,18.9891
LABS_n078_goal006.cnf,26d998ed907755fa184adebb65d14c0f,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
LABS_n067_goal001.cnf,61a8729adcd81c2ad24740568a05898c,3802.36,5000.0,5000.0,5000.0,4041.98,3914.11,4132.19,3781.16,2308.95,5000.0,1861.53,2183.13,1954.87,5000.0,5000.0,5000.0,4142.48,5000.0,5000.0,2427.5,1966.94,2796.53,2689.38,2774.0,3562.19,4617.79,5000.0,2137.56,2318.49,1992.3,2241.7,4411.67,5000.0,5000.0,5000.0
crafted_n12_d6_c3_num18.cnf,635d01615013fb15e35fbc43e3f0c429,5000.0,24.2553,5000.0,2284.58,5000.0,606.143,3519.45,3639.4,799.029,294.781,2123.06,3348.16,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,769.065,5000.0,3042.8,785.707,5000.0,602.946,1248.81,5000.0,5000.0,2961.08,1378.39,660.427,4690.75,5000.0,4319.06,4633.94
crafted_n12_d6_c3_num21.cnf,3a97fe017c349ee19c7157c76d630acc,5000.0,24.7392,5000.0,2765.29,5000.0,799.427,3523.15,3545.81,923.018,290.223,2460.81,3348.73,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,1531.59,5000.0,3120.73,4697.6,5000.0,671.294,5000.0,5000.0,5000.0,3481.92,1704.36,1035.31,4973.29,5000.0,5000.0,4957.27
LABS_n072_goal006.cnf,5edf0ecce9803481957875cae229da7d,4771.41,5000.0,5000.0,5000.0,1692.25,813.324,1256.16,5000.0,173.818,5000.0,5000.0,350.264,5000.0,5000.0,5000.0,5000.0,1840.32,5000.0,5000.0,5000.0,5000.0,950.659,1802.64,5000.0,5000.0,5000.0,5000.0,5000.0,4920.77,3337.97,5000.0,5000.0,2606.3,5000.0,4219.54
mm-2x3-8-8-sb.1.sat05-475.reshuffled-07.cnf,4a090b704246d3ad726ea9c32639743a,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4864.15,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,1964.19,4591.07,3870.98,5000.0,5000.0,5000.0,5000.0,5000.0
