Instance,MD5,Doug Hains (disqualified),MIPSat,MIPSat,glue_bit,gluebit_lgl,GlucoRed,Nigma,Nigma-NoPB,Solver43a,Solver43b,forl,strangenight,relback,gluH,ZENN,SAT4J,CSHCapplLG,CSHCapplLC,Riss3g,satUZK,gluH_simp,BreakIDGlucose,ShatterGlucose,Lingeling,Lingeling,minipure,glucose,glueminisat,Riss3g,sattimeRelbackShr,RSeq
ACG-15-10p1.cnf,4f02dda0c6b1f76f43bce732093e4f1f,1867.48,482.6,733.448,1680.07,2961.76,2142.98,1459.86,1246.58,3719.93,1575.3,540.19,1234.66,1850.01,1737.38,1536.1,5000.0,940.94,933.172,1668.8,1842.47,2615.47,1905.46,1897.79,416.113,357.833,2352.58,1949.61,1260.01,3709.72,5000.0,4215.09
velev-npe-1.0-9dlx-b71.cnf,75d91f0ba4398ccb5b452707c0e7fa27,80.2878,1381.31,442.636,30.3024,47.4588,1168.46,337.571,219.8,30.4024,29.3075,4300.31,5000.0,1001.24,188.378,246.975,966.715,546.49,945.428,660.365,375.922,547.489,236.983,839.082,83.3043,489.503,85.727,96.3284,2706.07,243.011,974.793,990.832
hitag2-7-60-0-0xc048b9ebae66e9d-32-SAT.cnf,852818d5597dad56589a08f3a1608737,5000.0,5000.0,5000.0,3752.38,4244.57,4294.96,5000.0,5000.0,5000.0,5000.0,5000.0,1284.9,5000.0,5000.0,5000.0,5000.0,5000.0,2365.84,581.807,5000.0,5000.0,5000.0,5000.0,2040.05,70.1203,917.291,5000.0,5000.0,5000.0,5000.0,5000.0
post-cbmc-zfcp-2.8-u2.cnf,7b60c21f3860c80136e9dddf32e6bdab,76.0644,651.109,5000.0,35.0007,70.8152,82.3025,3265.65,263.48,36.7584,34.8917,221.256,507.411,46.5429,43.0105,75.7525,180.568,5000.0,5000.0,163.387,98.551,79.7669,528.137,5000.0,225.339,199.154,89.5184,51.5492,80.5428,93.8317,45.2451,45.96
pb_400_04_lb_19.cnf,360567b6b0a9bd59c9f198620c0062e9,164.122,1255.79,3406.91,241.395,578.28,74.1977,167.17,220.423,272.232,110.366,4153.19,1006.5,205.54,191.661,365.297,313.426,489.481,1517.71,39.366,110.088,141.773,180.053,178.518,1002.57,507.338,5000.0,358.71,576.313,118.117,1193.33,799.063
vmpc_36.renamed-as.sat05-1922.cnf,c9c90d9af49f4c08c7262ecb9a0b2a3d,5000.0,5000.0,5000.0,121.757,3917.67,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
vmpc_35.renamed-as.sat05-1921.cnf,5fda0e0fb8a21967728dfe29bf2d4ea5,5000.0,5000.0,5000.0,23.0495,5000.0,2817.45,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,660.544,5000.0,5000.0,5000.0,5000.0,3490.07,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3841.72,5000.0,5000.0,5000.0
esawn_uw3.debugged.cnf,4e7daa3d49a343320151ab63a92adc02,381.107,5000.0,5000.0,252.08,311.946,5000.0,5000.0,5000.0,265.232,251.562,2992.01,5000.0,568.033,300.503,5000.0,5000.0,5000.0,5000.0,5000.0,833.117,5000.0,5000.0,5000.0,329.139,199.098,5000.0,462.432,5000.0,5000.0,570.916,562.653
pb_300_10_lb_12.cnf,7601bf95ac354d3354b7ef700e3ce952,3446.86,2340.6,5000.0,583.272,1571.32,2648.49,1254.64,1144.62,677.092,2254.06,2645.93,4295.37,779.577,2353.09,415.452,5000.0,3831.6,3849.12,1924.21,2507.56,2416.07,3099.66,3150.25,3497.76,1715.33,1432.62,3396.14,1201.52,2058.86,3508.26,2202.25
UR-15-10p1.cnf,558e9ecf39a7773e94f4b47eef706f44,1608.01,1019.98,1778.58,1055.47,1947.0,1564.62,2102.52,1718.93,2441.41,2716.18,638.838,740.667,2203.78,1418.06,1362.43,5000.0,866.265,862.612,1384.34,1327.3,1873.28,1511.72,1506.67,376.254,723.746,2665.36,1139.5,1421.96,2497.7,5000.0,3796.03
slp-synthesis-aes-top25.cnf,1d36146d5d79c91e0605a19242395228,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,1500.29,3162.31,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,897.737,5000.0,5000.0,5000.0,5000.0,5000.0
