Instance,MD5,Nigma-DRUP,Nigma-NoPB-DRUP,minisat_bit_u,forl,SAT4J Certified,forl,Lingeling,glucose,glueminisat-cert-unsat,Riss3g,minisat DRUP
11pipe_11_ooo.cnf,f603f11fbfe855df381282b7bce010ea,5000.0,5000.0,5000.0,3724.67,5000.0,2898.66,5000.0,5000.0,5000.0,5000.0,5000.0
hitag2-10-60-0-0xa04d664a73eac4d-66.cnf,01aca16b935575068eaddec12d081eaa,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
hitag2-10-60-0-0x8edc44db7837bbf-65.cnf,6deaeb073bc9c41597efe8389ae520e0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
hitag2-10-60-0-0xfee9637399d85a2-78.cnf,b54a49d3d999a4594e18c345e70b4361,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
hitag2-10-60-0-0xe6754daf48162bf-46.cnf,dbff77d9e0cb9f723b001740889dd410,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
AProVE07-27.cnf,29bcd837c2712d44bc41845c08842226,1008.44,1007.59,1033.89,1877.59,5000.0,2051.82,5000.0,709.447,703.906,729.2,2292.2
E00N23.cnf,1a1f0dddf727883e0973677dd00e9269,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,4817.23,5000.0,5000.0,5000.0
E00X23.cnf,9cec6483d4ca03e8555377ba059b61ae,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,3186.43,4499.74,4514.58,5000.0
minxorminand128.cnf,a551844fb6a7f35cf6025d0a525ca14e,2551.14,2054.89,3650.07,5000.0,5000.0,5000.0,5000.0,5000.0,3758.27,5000.0,2770.26
hitag2-10-60-0-0x2201a94920a2d2e-8.cnf,c0e2aaaa9d438c3cde8d3f7bf194598d,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
SAT_dat.k80.cnf,274a37aa2ba35f97a64c9a4abc4e2887,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
hitag2-10-60-0-0xac23f1205f76343-96.cnf,b70b71a00f018c40ee8dd7662ca7dceb,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
ctl_4291_567_11_unsat_pre.cnf,6b0e3f91a5898256b5fe6d23163fd1c9,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
dated-5-13-u.cnf,45ee13b66821e6c36f3e38be418fa121,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
dated-10-13-u.cnf,c10a1a201bfe26fc1d15892100d7fabd,1237.62,1184.7,811.358,403.147,2711.22,337.906,5000.0,542.86,386.746,843.729,986.847
pb_300_04_lb_06.cnf,70588b906ab53a44a8c419eb4f899fee,414.946,491.521,5000.0,100.601,5000.0,103.908,180.759,162.872,391.695,469.176,5000.0
10pipe_k.cnf,472f0bf494ff6f4ada071ae53908bded,5000.0,5000.0,5000.0,930.626,5000.0,622.05,778.593,1530.57,5000.0,1616.22,5000.0
9pipe_k.cnf,e1a8a4ccb71d4f3450d915674cab8eb9,401.573,456.196,260.065,396.188,1142.84,253.407,230.13,256.148,955.524,5000.0,706.733
8pipe_k.cnf,fb37ea12df01c47c903e00336d3448f6,3097.51,5000.0,1890.96,513.815,5000.0,224.348,208.13,203.332,5000.0,5000.0,5000.0
7pipe_k.cnf,bfa57bb962fb5c80635cfb3b84bbd22e,934.186,3045.1,1382.11,220.57,5000.0,77.5242,83.1674,1028.03,5000.0,1428.57,5000.0
10pipe_q0_k.cnf,79941071560dae54d0cb5c1220e3ba9b,5000.0,5000.0,1583.74,438.628,5000.0,253.28,278.199,334.571,3625.03,5000.0,5000.0
11pipe_q0_k.cnf,3d2a57ecbdb4f6b63e32b161d7da83ff,5000.0,5000.0,2861.01,598.745,5000.0,428.823,492.266,491.805,1987.76,5000.0,5000.0
8pipe_q0_k.cnf,c82ea6bf26d56fc842649764c2fa67be,3569.6,5000.0,294.68,191.353,5000.0,97.4842,82.3545,205.673,1813.29,1390.06,5000.0
hitag2-10-60-0-0xdf7fa6426edec07-17.cnf,2c7e0cca7c8d52ec8c006ea94a2f83f5,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
pb_200_05_lb_00.cnf,45c4707451faa7664f89827b8f287fad,268.758,320.161,5000.0,117.27,5000.0,70.6463,128.362,54.4827,128.886,161.302,3202.87
pb_200_10_lb_15.cnf,ad47cf5e54ef2602508ef66e1b4eedd6,197.184,168.1,5000.0,71.9911,5000.0,63.2364,72.045,39.296,68.9785,111.141,5000.0
minxor128.cnf,10b48467ea3d951975cb9264f0b654fe,288.062,173.384,493.512,1202.53,5000.0,2215.1,5000.0,251.303,239.829,267.317,995.666
pb_400_03_lb_07.cnf,4fcb16b86dca3d560020dbce9cd5fdfe,249.412,337.888,5000.0,394.214,5000.0,289.825,645.137,141.14,454.05,247.659,1020.3
pb_300_10_lb_06.cnf,bf994c766729d1c6fcc771291fdde511,70.0394,59.389,5000.0,81.0967,5000.0,54.9836,245.173,51.2842,104.384,58.0922,329.013
pb_300_04_lb_05.cnf,a64e998696b188189301118d467fbe30,88.2526,102.163,1123.52,77.8922,5000.0,48.5276,83.5593,33.5569,138.25,125.813,497.13
pb_300_05_lb_11.cnf,ad86b0a03cfaa4d2ae2f1ac2efc5ef04,597.076,404.99,5000.0,2285.65,5000.0,2456.11,5000.0,299.481,416.983,319.569,3302.47
p01_lb_05.cnf,5ae5f2dd01531f1fcf5bdb22bb8f0d20,200.792,180.507,979.425,37.8122,5000.0,50.5993,47.8287,20.7128,54.9226,29.6655,201.266
pb_400_09_lb_02.cnf,e22875fadec2a8e9b80784433bd842a0,70.0374,85.263,1796.28,87.3557,5000.0,135.589,154.548,68.3306,246.608,91.3871,122.136
pb_200_03_lb_01.cnf,45856fa1c0551bee182ad770c6c630f5,254.777,231.077,1519.31,215.879,5000.0,234.496,5000.0,124.034,266.317,165.352,687.456
SAT_dat.k65.cnf,e98679e9ca14c8efe61801a0fcff067d,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,1768.63,4669.5,4050.78,5000.0,5000.0
