#t lex rand randsort randsortdesc randw randwnoh 
12840 635003394.987 660731507.099 841816868.78 552169481.042 571253230.249 458248602.795
12841 635010929.036 660763893.196 841861993.942 552177015.092 571285555.734 458256136.845
12842 635018463.086 660796279.293 841907119.105 552184549.141 571317881.219 458263670.894
12843 635025997.135 660828665.39 841952244.267 552192083.191 571350206.704 458271204.944
12844 635033531.185 660861051.487 841997369.429 552199617.24 571382532.189 458278738.993
12845 635041065.234 660893437.584 842042494.592 552207151.29 571414857.674 458286273.043
12846 635048599.284 660925823.682 842087619.754 552214685.339 571447183.159 458293807.092
12847 635056133.333 660958209.779 842132744.916 552222219.389 571479508.644 458301341.142
12848 635063667.383 660990595.876 842177870.079 552229753.438 571511834.128 458308875.191
12849 635071201.432 661022981.973 842222995.241 552237287.487 571544159.613 458316409.241
12850 635078735.482 661055368.07 842268120.403 552244821.537 571576485.098 458323943.29
12851 635086269.531 661087754.167 842313245.565 552252355.586 571608810.583 458331477.34
12852 635093803.581 661120140.264 842358370.728 552259889.636 571641136.068 458339011.389
12853 635101337.63 661152526.361 842403495.89 552267423.685 571673461.553 458346545.439
12854 635108871.68 661184912.458 842448621.052 552274957.735 571705787.038 458354079.488
12855 635116405.729 661217298.555 842493746.215 552282491.784 571738112.523 458361613.537
12856 635123939.778 661249684.653 842538871.377 552290025.834 571770438.007 458369147.587
12857 635131473.828 661282070.75 842583996.539 552297559.883 571802763.492 458376681.636
12858 635139007.877 661314456.847 842629121.702 552305093.933 571835088.977 458384215.686
12859 635146541.927 661346842.944 842674246.864 552312627.982 571867414.462 458391749.735
12860 635154075.976 661379229.041 842719372.026 552320162.032 571899739.947 458399283.785
12861 635161610.026 661411615.138 842764497.188 552327696.081 571932065.432 458406817.834
12862 635169144.075 661444001.235 842809622.351 552335230.131 571964390.917 458414351.884
12863 635176678.125 661476387.332 842854747.513 552342764.18 571996716.402 458421885.933
12864 635184212.174 661508773.429 842899872.675 552350298.23 572029041.886 458429419.983
12865 635191746.224 661541159.526 842944997.838 552357832.279 572061367.371 458436954.032
12866 635199280.273 661573545.624 842990123.0 552365366.329 572093692.856 458444488.082
12867 635206814.323 661605931.721 843035248.162 552372900.378 572126018.341 458452022.131
